station_id;id2;loc1;loc2;id3;since;unknown;lat;lon;state;state_name;loc_type1;loc_type2;neighboring;street;hnumber;zip_code;mindate
317;DEBW116;Stuttgart Hohenheimer Straße;Stuttgart;;2003-12-23;NA;9.1845;48.7687;BW;Baden-Württemberg;städtisches Gebiet;städtisch;Verkehr;Hohenheimer Straße;64;70184;2016-01-01
318;DEBW117;Ludwigsburg Friedrichstraße;Ludwigsburg;;2003-12-23;NA;9.1900;48.8892;BW;Baden-Württemberg;städtisches Gebiet;städtisch;Verkehr;Friedrichstraße;9;71638;2016-01-01
319;DEBW118;Stuttgart Am Neckartor;Stuttgart;;2003-12-23;NA;9.1910;48.7881;BW;Baden-Württemberg;städtisches Gebiet;städtisch;Verkehr;Am Neckartor;;70190;2016-01-01
321;DEBW120;Leonberg Grabenstraße;Leonberg;;2004-12-29;NA;9.0165;48.8010;BW;Baden-Württemberg;städtisches Gebiet;städtisch;Verkehr;Grabenstraße;;71229;2016-01-01
323;DEBW122;Freiburg Schwarzwaldstraße;Freiburg;;2004-12-27;NA;7.8599;47.9882;BW;Baden-Württemberg;städtisches Gebiet;städtisch;Verkehr;Schwarzwaldstraße;;79102;2016-01-01
326;DEBW125;Pfinztal Karlsruher Straße;Berghausen;;2006-01-01;NA;8.5263;49.0037;BW;Baden-Württemberg;vorstädtisches Gebiet;vorstädtisch;Verkehr;Karlsruher Straße;;76327;2016-01-01
337;DEBW136;Tübingen Mühlstraße;Tübingen;;2004-01-01;NA;9.0580;48.5202;BW;Baden-Württemberg;städtisches Gebiet;städtisch;Verkehr;Mühlstraße;;72074;2016-01-01
348;DEBW147;Reutlingen Lederstraße-Ost;Reutlingen;;2007-03-21;NA;9.2108;48.4893;BW;Baden-Württemberg;städtisches Gebiet;städtisch;Verkehr;Lederstraße;;72764;2016-01-01
353;DEBW152;Heilbronn Weinsberger Straße-Ost;Heilbronn;;2009-01-01;NA;9.2259;49.1460;BW;Baden-Württemberg;städtisches Gebiet;städtisch;Verkehr;Weinsberger Straße;;74072;2016-01-01
357;DEBW156;Schramberg Oberndorfer Straße;Schramberg;;2011-08-01;NA;8.3906;48.2292;BW;Baden-Württemberg;städtisches Gebiet;städtisch;Verkehr;Oberndorfer Straße;;78713;2016-01-01
435;DEBY001;Ansbach/Residenzstraße;Ansbach;;1989-07-01;NA;10.5723;49.3049;BY;Bayern;städtisches Gebiet;städtisch;Verkehr;Residenzstraße/Brauhausstraße;;91522;2016-01-01
436;DEBY002;Arzberg/Egerstraße;Arzberg;;1980-01-01;NA;12.1887;50.0582;BY;Bayern;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Egerstraße;17;95659;2016-01-01
438;DEBY004;Kleinwallstadt/Hofstetter Straße;Kleinwallstadt;;1978-08-01;NA;9.1715;49.8694;BY;Bayern;ländlich stadtnah;ländlich;Hintergrund;Hofstetter Straße;13;63839;2016-01-01
439;DEBY005;Aschaffenburg/Bussardweg;Aschaffenburg;;1978-08-01;NA;9.1180;49.9915;BY;Bayern;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Bussardweg;ggüber 2;63741;2016-01-01
440;DEBY006;Augsburg/Königsplatz;Augsburg;;1975-01-01;NA;10.8950;48.3646;BY;Bayern;städtisches Gebiet;städtisch;Verkehr;Königsplatz;;86150;2016-01-01
441;DEBY007;Augsburg/Bourges-Platz;Augsburg;;1986-08-01;NA;10.8884;48.3766;BY;Bayern;städtisches Gebiet;städtisch;Hintergrund;Bourges-Platz;;86153;2016-01-01
443;DEBY009;Bamberg/Löwenbrücke;Bamberg;;1978-01-01;NA;10.8877;49.8983;BY;Bayern;städtisches Gebiet;städtisch;Hintergrund;Löwenbrücke;;96047;2016-01-01
446;DEBY012;Burghausen/Marktler Straße;Burghausen;;1976-01-01;NA;12.8293;48.1772;BY;Bayern;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Klausenstraße;;84489;2016-01-01
447;DEBY013;Mehring/Sportplatz;Mehring;;1977-03-01;NA;12.7814;48.1828;BY;Bayern;ländlich regional;ländlich;Hintergrund;Scheibelbergstraße;;84561;2016-01-01
448;DEBY014;Coburg/Lossaustraße;Coburg;;1987-02-01;NA;10.9593;50.2606;BY;Bayern;städtisches Gebiet;städtisch;Verkehr;Lossaustraße;;96450;2016-01-01
454;DEBY020;Hof/LfU;Hof;;1988-06-01;NA;11.8975;50.3206;BY;Bayern;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Dr.-Enders-Straße;;95030;2016-01-01
455;DEBY021;Ingolstadt/Rechbergstraße;Ingolstadt;;1989-06-01;NA;11.4288;48.7694;BY;Bayern;städtisches Gebiet;städtisch;Verkehr;Rechbergstraße;;85049;2016-01-01
460;DEBY026;Vohburg a.d. Donau/Alter Wöhrer Weg;Vohburg a.d. Donau;;2015-10-22;NA;11.6383;48.7671;BY;Bayern;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Alter Wöhrer Weg;;85088;2016-01-01
462;DEBY028;Kelheim/Regensburger Straße;Kelheim;;1975-01-01;NA;11.8792;48.9095;BY;Bayern;städtisches Gebiet;städtisch;Verkehr;Regensburger Straße;;93309;2016-01-01
464;DEBY030;Saal a.d. Donau/Regensburger Straße;Saal a.d. Donau;;1978-08-01;NA;11.9488;48.9042;BY;Bayern;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Regensburger Straße;;93342;2016-01-01
465;DEBY031;Kempten (Allgäu)/Westendstraße;Kempten (Allgäu);;1976-01-01;NA;10.3066;47.7251;BY;Bayern;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Westend-/Bodmanstraße;;87439;2016-01-01
466;DEBY032;Kulmbach/Konrad-Adenauer-Straße;Kulmbach;;1988-10-01;NA;11.4426;50.1031;BY;Bayern;städtisches Gebiet;städtisch;Hintergrund;Konrad-Adenauer-Straße;;95326;2016-01-01
467;DEBY033;Landshut/Podewilsstraße;Landshut;;1985-12-01;NA;12.1571;48.5398;BY;Bayern;städtisches Gebiet;städtisch;Verkehr;Podewilsstraße;;84028;2016-01-01
469;DEBY035;Lindau (Bodensee)/Friedrichshafener Straße;Lindau (Bodensee);;2013-12-12;NA;9.6889;47.5575;BY;Bayern;städtisches Gebiet;städtisch;Verkehr;Friedrichshafener Straße;;88131;2016-01-01
471;DEBY037;München/Stachus;München;;1978-01-01;NA;11.5649;48.1373;BY;Bayern;städtisches Gebiet;städtisch;Verkehr;Sonnenstraße;;80335;2016-01-01
473;DEBY039;München/Lothstraße;München;;1978-01-01;NA;11.5547;48.1545;BY;Bayern;städtisches Gebiet;städtisch;Hintergrund;Lothstraße;62;80335;2016-01-01
481;DEBY047;Naila/Selbitzer Berg;Naila;;1986-01-01;NA;11.7216;50.3232;BY;Bayern;ländlich stadtnah;ländlich;Hintergrund;Selbitzer Berg;;95119;2016-01-01
483;DEBY049;Neustadt a.d. Donau/Eining;Neustadt a.d. Donau, Gde.teil Eining;;1977-03-01;NA;11.7778;48.8532;BY;Bayern;ländlich regional;ländlich;Hintergrund;KEH7 (Kreisstraße);;93333;2016-01-01
486;DEBY052;Neu-Ulm/Gabelsbergerstraße;Neu-Ulm;;1978-01-01;NA;10.0083;48.3971;BY;Bayern;städtisches Gebiet;städtisch;Hintergrund;Gabelsberger-/Bahnhofstraße;;89231;2016-01-01
